words,polarity
condemned,0.3649571410700506
investigation,0.3650880946227481
patrol,0.365150788658799
soldiers,0.36519140844081055
tested,0.36532784501746035
factions,0.3653404671556698
helicopter,0.36590889487986233
military,0.3660454364317927
camps,0.3664220582443574
falsely,0.36646036471017224
sdf,0.3669714832606309
lying,0.36701905122726536
czech,0.36706650947849356
alert,0.3671947891315701
preventing,0.3677004355466742
relations,0.367880589106753
killing,0.36789760450858067
militant,0.3680970287758753
frequently,0.36866222795963266
spat,0.36866516973299407
tripoli,0.36876340004711755
disagreements,0.36882336180104397
thwarted,0.36882741890468407
killed,0.36894286251620995
hiding,0.369559595034582
erosion,0.36969555815333566
tensions,0.3698866196450325
muammar,0.3701219340380269
piracy,0.37030530778274345
deployed,0.37062085565149927
hodeidah,0.37088016938512197
gaza,0.3711126016440261
thieves,0.3713105391764417
kidnapping,0.3713860175896
condemns,0.37148539162020716
guard,0.3721757612860845
tug,0.37225752664128003
protesters,0.37230107356275133
airport,0.3724110441966835
strained,0.37241741772069864
ransomware,0.37244082772852904
nda,0.3727399469912255
warships,0.37284001372021347
islamic,0.3729225646898647
terrorism,0.3730940524913088
object,0.37313035871524625
khurais,0.3732087511614166
protesting,0.37375168239313233
ignited,0.37404444317319235
haftar,0.3741870310656228
defensive,0.3743853909659249
farmers,0.37447189249183443
engagement,0.37478781705209047
khalifa,0.37522481940773855
knocked,0.3754232422949897
mines,0.3762846551123503
drills,0.3763335716401196
blockade,0.3768666686948967
bitter,0.37737660681765833
disagreement,0.3773967848894865
looting,0.3776802541117963
injuring,0.3782852662565787
blockades,0.37855663217678936
mercenaries,0.3788823016261571
guards,0.37904439686203684
affiliated,0.3790486542008813
dispatched,0.37909786872807755
divide,0.37920476906145645
sides,0.37929083057626606
torn,0.3793038569447926
violent,0.3793758361413406
embargo,0.37952113502414075
revolutionary,0.37971934217443704
naval,0.3797296526655237
brokered,0.37973349417799657
originated,0.3799000002186927
standoff,0.3799983318309327
syria,0.38005642513627735
unarmed,0.3802196021659359
mechanical,0.3802900073071466
manitoba,0.38034114222891685
releasing,0.38066391565940627
vicinity,0.38068362529969013
tribes,0.3806889650056408
infected,0.3807182700861256
numerous,0.3809687412784126
extinguished,0.3811697077082513
inside,0.3812974529611177
army,0.38136635569579674
seized,0.3817023238284037
extremists,0.38178612470554885
crew,0.3819301223216649
fighters,0.3820868086575374
seizure,0.3821290319427077
protest,0.38248538953989186
offline,0.382647835469729
destroyer,0.3826874667064026
assault,0.38271403187941794
baghdad,0.3829015322693055
detention,0.38304135207816953
allegedly,0.3830687425765705
explanation,0.3831845193004855
suspected,0.38335395348099677
scene,0.3844064669918382
responsibility,0.3846516230173276
materially,0.3847491851291579
tense,0.38474982021706045
vessel,0.384979673791315
blockaded,0.3850742340439414
disaster,0.38514388869997757
controlling,0.38533131198700704
